Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,93_69,WW,2000_2010,0.794996,0.3586885,-0.6028339,-0.0542703,31.354427,67.73690909,4172.809005,10435.86,1,0.37
short,61_58,WW,2000_2010,0.6755,0.3674819,-0.1630982,-0.0564633,57.526434,16.996,5326.596007,10754.79,0.7,0.38
short,121_105,WW,2000_2010,0.7029464,0.3019104,-0.176728,-0.0524133,25.165541,50.76081818,4990.540744,12255.59,0.7,0.31
short,176_132,WW,2000_2010,0.3961651,0.2066359,-0.1028266,-0.0385074,39.932314,71.54445455,1381.913059,4452.67,0.4,0.21
short,55_129,WW,2000_2010,0.9149415,0.41469,-0.4808948,-0.0570526,52.900997,50.98109091,6730.605519,9760.94,1,0.43
short,76_100,WW,2000_2010,0.965739,0.4817951,-1.0167756,-0.0558132,44.153205,81.19818182,5732.945221,7531.31,1.45,0.5
short,133_105,WW,2000_2010,1.8291381,0.3824772,-0.5855708,-0.0448788,29.703759,94.07136364,3266.584795,9236.2,2.18,0.39
short,65_72,WW,2000_2010,0.7412645,0.4147879,0.309634,-0.055854,86.733128,1.654545455,5998.258705,8977.72,0.65,0.43
short,59_70,WW,2000_2010,0.6442704,0.4163245,-0.17516,-0.0557139,63.442415,13.52372727,3978.353356,10267.3,0.65,0.43
short,108_132,WW,2000_2010,1.3948782,0.4956536,-0.973563,-0.0541057,44.233663,66.29554545,4456.108821,9399.22,2.02,0.51
short,121_58,WW,2000_2010,2.8498891,1.2249938,-1.1856416,-0.0533233,40.300112,97.36345455,4083.32954,9069.92,4.6,1.26
short,92_94,WW,2000_2010,0.9839842,0.193751,-0.767273,-0.0558265,38.573324,69.00890909,4131.968698,8424.83,1.41,0.2
short,59_69,WW,2000_2010,0.6720887,0.4159276,-0.1540198,-0.0564612,62.267744,16.11136364,4576.210583,10604.22,0.65,0.43
short,158_135,WW,2000_2010,1.7149718,0.3823958,-0.7871215,-0.0453579,50.236073,85.821,3381.053558,8822,2.18,0.39
short,58_107,WW,2000_2010,1.0462045,0.3572899,-0.1777886,-0.056703,52.533118,30.34036364,6865.226291,9690.74,1,0.37
short,107_74,WW,2000_2010,0.7523915,0.4172568,-0.2296571,-0.0548167,33.467121,51.50436364,3937.621081,10178.5,0.97,0.43
short,93_161,WW,2000_2010,1.2172263,0.7567139,-0.7472243,-0.0557837,62.929689,35.75709091,4810.524766,9073.66,1.65,0.78
short,110_135,WW,2000_2010,0.7790826,0.2921642,-0.6392016,-0.0526677,38.209632,58.00781818,3699.762958,9043.81,0.99,0.3
short,55_130,WW,2000_2010,0.9509049,0.4541,-0.3840451,-0.0567043,58.993027,35.80072727,6375.836766,10006.45,1,0.47
short,64_119,WW,2000_2010,0.8275259,0.3849014,-0.6505315,-0.0564382,62.634435,51.26572727,6371.215162,8421.96,1,0.4
short,147_102,WW,2000_2010,1.7617816,0.381941,-0.9310784,-0.046273,34.964933,111.4068182,4580.598285,6490.43,2.18,0.39
short,47_130,WW,2000_2010,0.8981378,0.3947632,-0.1994508,-0.0590046,43.957714,49.58781818,6771.296554,8924.93,1,0.41
short,81_161,WW,2000_2010,1.1900056,0.4448133,-0.7709047,-0.0577801,89.466078,29.85045455,6450.444575,8101.85,1.6,0.46
