Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,71_154,Maize,2000_2010,0.9239271,0.3869115,-0.3022158,-0.0577827,48.341649,68.54181818,7699.40348,11548.98182,0.83,0.4
short,134_151,Maize,2000_2010,1.0741752,0.3611673,-0.3918631,-0.0505976,33.801702,56.25554545,4428.467612,11728.56364,1.07,0.37
short,94_135,Maize,2000_2010,1.1481836,0.3594982,-0.1623677,-0.0546523,38.665049,48.58681818,7838.295816,13151,1,0.37
short,134_148,Maize,2000_2010,1.1356759,0.2733882,-0.4871752,-0.0501535,36.543803,56.30009091,4556.907094,11748.14545,1.2,0.28
short,105_86,Maize,2000_2010,1.0281406,0.3882759,0.2624407,-0.0549107,45.602757,50.198,8235.500731,10300.88182,0.83,0.4
short,52_164,Maize,2000_2010,0.9203364,0.3852717,-0.4087753,-0.0560349,68.237054,92.46527273,8728.962185,9983.172727,1,0.4
short,78_79,Maize,2000_2010,1.4390035,1.0059049,-0.7863389,-0.0551582,60.468012,89.11145455,8213.161732,11780.56364,2.09,1.04
short,126_148,Maize,2000_2010,1.0814772,0.351131,-0.6377807,-0.0516764,38.231588,58.78718182,4037.921436,11302.09091,1.2,0.36
short,86_135,Maize,2000_2010,1.4120734,0.7561441,-0.5226545,-0.0553601,68.767158,31.74790909,8535.974159,11596.00909,1.65,0.78
short,64_164,Maize,2000_2010,0.5104923,0.1636608,-0.259569,-0.0579434,52.533431,78.457,8059.364687,10604.41818,0.41,0.17
short,102_148,Maize,2000_2010,1.1894341,0.2820705,-0.1303944,-0.0542656,33.242398,43.22763636,7752.435747,13500.66364,0.99,0.29
short,76_164,Maize,2000_2010,1.3650438,0.658327,-0.7110893,-0.0577143,65.629521,62.76627273,8564.234144,11089.92727,1.68,0.68
short,62_57,Maize,2000_2010,0.9429208,0.3866829,-0.0867858,-0.0562006,56.218444,4.978181818,8868.570371,13525.79091,0.83,0.4
short,69_153,Maize,2000_2010,0.9760153,0.387402,-0.157508,-0.0570913,54.087362,36.52354545,8520.692578,11899.02727,0.86,0.4
short,158_148,Maize,2000_2010,1.8003661,0.3823932,-0.5405781,-0.0444022,43.176518,75.96063636,4587.884455,11274.98182,2.18,0.39
short,91_82,Maize,2000_2010,1.1272036,0.3587105,-0.1630525,-0.0550651,50.122004,63.32227273,7717.300243,10558.64545,1.14,0.37
short,99_102,Maize,2000_2010,1.0668102,0.3590698,-0.1362941,-0.0551066,51.626053,49.75172727,7630.9643,10586.62727,1,0.37
short,88_108,Maize,2000_2010,1.0467254,0.3500299,0.2695396,-0.0531529,29.384952,47.07954545,8007.44993,13333.79091,0.74,0.36
short,75_95,Maize,2000_2010,0.909382,0.4158926,0.0155523,-0.0561803,38.693874,61.37963636,7817.343,12592.36364,0.74,0.43
short,78_159,Maize,2000_2010,0.9859161,0.3869194,-0.4238199,-0.0577537,68.889093,40.506,8131.741069,10462.58182,1,0.4
short,149_142,Maize,2000_2010,1.7496826,0.3819304,-0.6385273,-0.0460018,42.202456,82.74036364,4258.585119,10509.84545,2.18,0.39
short,56_147,Maize,2000_2010,1.1248374,0.3876988,0.0751122,-0.0541594,29.456226,58.44,9961.201167,14465.99091,0.98,0.4
short,113_142,Maize,2000_2010,1.2233512,0.3602576,-0.1084528,-0.0531588,45.598321,22.763,7663.544957,12766.05455,1.07,0.37
short,90_116,Maize,2000_2010,1.1668978,0.3887795,0.0206564,-0.0538826,36.119147,45.33281818,7963.969675,12604.02727,1,0.4
short,182_124,Maize,2000_2010,1.8604408,0.3832452,-0.5310984,-0.0412335,42.886773,86.08381818,3955.253281,9591.109091,2.18,0.39
short,101_142,Maize,2000_2010,0.9055128,0.3695501,-0.2599404,-0.0542839,34.680625,47.55581818,7794.445158,12944.23636,0.86,0.38
short,82_116,Maize,2000_2010,1.1992537,0.3594025,0.0829659,-0.0541638,26.228593,68.93445455,8556.247104,13104.81818,1,0.37
short,125_142,Maize,2000_2010,1.1027602,0.3608587,-0.6609493,-0.0515402,38.646709,48.25954545,4165.136858,11804.91818,1.2,0.37
short,60_147,Maize,2000_2010,0.7002784,0.1645869,0.4575414,-0.0562699,36.258485,57.12390909,8681.420453,12473.95455,0.41,0.17
short,137_142,Maize,2000_2010,0.6293335,0.2930824,-0.2733385,-0.0496585,27.683393,52.22927273,3980.649974,11814.08182,0.57,0.3
short,97_126,Maize,2000_2010,1.2186313,0.3603294,-0.0759649,-0.0527733,40.231527,43.64418182,7586.091892,11969.39091,0.99,0.37
short,37_169,Maize,2000_2010,0.9050539,0.3867065,0.5637724,-0.0548321,59.694756,29.28118182,10471.24742,12743.85455,0.6,0.4
short,116_77,Maize,2000_2010,1.0919073,0.3888037,-0.0969255,-0.0540623,39.048127,81.25436364,6319.600876,9405.281818,1.16,0.4
